dateExecuted,Amount Invested,PnL,Return,Cumulative PnL
2018-01-12,55050.0,275.9999999999991,0.005013623978201619,275.9999999999991
2018-01-23,34487.0,-148.99999999999807,-0.004320468582364313,127.00000000000102
2018-01-25,6302.0,-164.00000000000006,-0.02602348460806094,-36.999999999999034
2018-01-29,7561.0,-12.999999999999545,-0.0017193492924215772,-49.99999999999858
2018-02-02,16557.0,25.00000000000142,0.001509935374766046,-24.999999999997158
2018-02-16,16575.0,-374.0000000000009,-0.022564102564102618,-398.99999999999807
2018-02-20,9690.0,-3.0000000000001137,-0.00030959752321982597,-401.9999999999982
2018-03-23,6670.0,29.999999999999716,0.004497751124437738,-371.99999999999847
2018-04-12,53016.99999999999,377.00000000000955,0.0071109266838940265,5.0000000000110845
2018-04-17,32957.0,330.00000000000114,0.010013047304062904,335.0000000000122
2018-04-19,7539.0,-9.999999999999432,-0.0013264358668257637,325.0000000000128
2018-04-26,5219.0,-105.99999999999952,-0.020310404292009872,219.00000000001327
2018-04-27,19050.0,12.000000000000455,0.0006299212598425435,231.00000000001373
2018-05-02,4381.0,-14.000000000000057,-0.003195617438940894,217.00000000001367
2018-05-17,8705.0,18.999999999999773,0.002182653647329095,236.00000000001344
2018-05-18,14650.0,-49.00000000000091,-0.0033447098976109838,187.00000000001253
2018-06-29,7876.000000000001,51.9999999999996,0.006602336211274707,239.00000000001214
2018-07-16,50000.0,313.99999999999864,0.006279999999999973,553.0000000000108
2018-07-17,34695.0,-17.00000000000159,-0.0004899841475717421,536.0000000000092
2018-07-26,5210.0,18.999999999999773,0.003646833013435657,555.000000000009
2018-07-27,12279.0,-25.0,-0.002035996416646307,530.000000000009
2018-07-31,8039.0,-51.00000000000051,-0.006344072645851538,479.00000000000847
2018-08-01,12074.0,-63.999999999999346,-0.0053006460162331745,415.0000000000091
2018-08-16,10011.0,-28.000000000000114,-0.0027969233842773064,387.000000000009
2018-08-17,13418.0,124.00000000000091,0.009241317633030325,511.0000000000099
2018-09-26,8259.0,-10.999999999999943,-0.0013318803729264975,500.00000000000995
2018-10-16,41000.0,16.0000000000025,0.0003902439024390854,516.0000000000125
2018-10-17,37819.0,-717.0000000000016,-0.018958724450672985,-200.9999999999891
2018-10-19,8486.0,43.99999999999977,0.005185010605703485,-156.9999999999893
2018-10-25,5097.0,0.999999999999801,0.00019619383951340025,-155.9999999999895
2018-11-01,7181.0,6.999999999999318,0.000974794596852711,-148.9999999999902
2018-11-02,16724.0,-51.9999999999996,-0.0031093039942597226,-200.9999999999898
2018-11-15,10232.0,-68.99999999999977,-0.006743549648162605,-269.99999999998954
2018-11-21,13656.0,-390.99999999999966,-0.028632103104862305,-660.9999999999892
2018-12-21,7329.000000000001,-9.000000000000341,-0.0012279983626688961,-669.9999999999895
2019-01-16,40009.0,-488.00000000000523,-0.012197255617486196,-1157.9999999999948
2019-01-18,35205.0,-560.0000000000023,-0.015906831415992112,-1717.999999999997
2019-01-23,9418.0,70.99999999999937,0.007538755574431872,-1646.9999999999977
2019-01-24,5375.0,-14.000000000000057,-0.0026046511627907084,-1660.9999999999977
2019-01-30,4081.0,-30.000000000000426,-0.0073511394266112294,-1690.9999999999982
2019-02-01,18665.0,104.99999999999972,0.005625502276989001,-1585.9999999999984
2019-02-15,15947.0,-112.99999999999955,-0.007085972283188032,-1698.999999999998
2019-02-19,10238.0,106.00000000000023,0.010353584684508716,-1592.9999999999977
2019-03-22,8520.0,-15.000000000000568,-0.0017605633802817568,-1607.9999999999982
2019-04-16,45310.0,364.9999999999977,0.008055616861619902,-1243.0000000000005
2019-04-17,36505.0,75.0,0.0020545130803999454,-1168.0000000000005
2019-04-23,10390.0,-63.000000000000966,-0.0060635226179019215,-1231.0000000000014
2019-04-25,5325.0,-17.99999999999997,-0.0033802816901408396,-1249.0000000000014
2019-04-26,11840.0,-21.000000000000796,-0.001773648648648716,-1270.0000000000023
2019-05-01,5247.0,-8.99999999999963,-0.001715265866209192,-1279.0000000000018
2019-05-03,7601.000000000001,2.000000000001023,0.00026312327325365384,-1277.000000000001
2019-05-16,10283.0,35.00000000000085,0.0034036759700477345,-1242.0
2019-05-17,14000.0,103.00000000000011,0.007357142857142865,-1139.0
2019-06-28,8399.0,3.999999999999204,0.0004762471722823198,-1135.000000000001
2019-07-18,32377.0,499.0000000000009,0.01541217530963341,-636.0
